City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,leer,53.2316,7.461,14.410000000000025,94,13,3.14,DE,1690255348
1,isabela,6.7085,121.9711,30.03000000000003,69,83,6.06,PH,1690255348
2,kununurra,-15.7667,128.7333,20.99000000000001,24,10,7.2,AU,1690255349
3,nosivka,50.9315,31.5828,17.75,63,87,4.18,UA,1690255349
4,hawaiian paradise park,19.5933,-154.9731,26.730000000000018,89,100,3.09,US,1690255349
5,penn yan,42.6609,-77.0539,18.950000000000045,96,0,2.06,US,1690255349
6,wailua homesteads,22.0669,-159.378,28.24000000000001,87,100,8.23,US,1690255107
7,waitangi,-43.9535,-176.5597,12.120000000000005,98,100,1.34,NZ,1690255350
8,grytviken,-54.2811,-36.5092,-5.589999999999975,78,21,5.27,GS,1690255350
9,weno,7.4515,151.8468,30.970000000000027,74,100,2.06,FM,1690255350
10,borisovka,50.6236,35.9903,17.08000000000004,64,72,4.53,RU,1690255350
11,north bay,46.3168,-79.4663,17.189999999999998,96,0,1.54,CA,1690255251
12,ribeira grande,38.5167,-28.7,22.100000000000023,86,12,4.02,PT,1690255351
13,adamstown,-25.066,-130.1015,20.53000000000003,71,16,4.31,PN,1690255351
14,tadine,-21.55,167.8833,21.200000000000045,60,100,6.57,NC,1690255351
15,la passe,45.5549,-0.8967,17.210000000000036,68,100,8.34,FR,1690255352
16,klyuchi,52.2667,79.1667,24.450000000000045,39,78,4.98,RU,1690255352
17,alo,7.4178,6.7371,22.600000000000023,98,100,0.94,NG,1690255352
18,dubbo,-32.25,148.6167,17.07000000000005,48,0,5.14,AU,1690255352
19,port lincoln,-34.7333,135.8667,14.600000000000023,69,0,4.5,AU,1690255353
20,greymouth,-42.4667,171.2,11.120000000000005,84,80,4.04,NZ,1690255353
21,papatowai,-46.5619,169.4708,7.980000000000018,81,97,7.52,NZ,1690255104
22,thompson,55.7435,-97.8558,20.090000000000032,64,100,5.14,CA,1690255353
23,wagar,16.1525,36.2032,27.840000000000032,65,77,9.32,SD,1690255353
24,constantia,44.1833,28.65,20.390000000000043,78,5,5.94,RO,1690255116
